,,,
Code ,No. subcodes ,Description ,Causality Rating 
H35.6 , ,Retinal hemorrhage ,E 
H40.6 , ,Glaucoma secondary to drugs ,A1 
H43.1 , ,Vitreous hemorrhage ,E 
H53 ,9,Visual disturbances ,D 
H91.0 , ,Ototoxic hearing loss ,C 
H92.2 , ,Otorrhagia ,E 
I15.8[1] , ,Other secondary hypertension ,D 
I15.9 , ,"Secondary hypertension, unspecified ",E 
I26 ,2,Pulmonary embolism  ,E 
I31.2 , ,"Haemopericardium, not elsewhere classified ",E 
I42.7 , ,Cardiomyopathy due to drugs and other external agents ,A2 
I44 ,8,Atrioventricular and left bundle-branch block,E 
I45.8 , ,Other specified conduction disorders ,E 
I46.1 , ,"Sudden cardiac death, so described",E 
I47.2 , ,Ventricular tachycardia ,E 
I49.0 , ,Ventricular fibrillation and flutter ,U 
,,,
I60 ,10,Subarachanoid hemorrhage ,E 
I61 ,9,Intracerebral hemorrhage ,E 
I62 ,3,Other nontraumatic intracranial haemorrhage , 
I80 ,6,Phlebitis and thrombophlebitis ,E 
I85.0 , ,Esophageal varices with bleeding ,U 
I95 ,5,Hypotension ,E 
I95.2 , ,Hypotension due to drugs ,A1 
K52.8 , ,Other specified noninfective gastroenteritis and colitis ,U 
K52.9  , ,"Non-Infective gastroenteritis and colitis, unspecified* ",D 
K62.5 , ,Hemorrhage of anus and rectum ,E 
K66.1 , ,Hemoperitoneum ,E 
K71 ,10,Toxic liver disease ,E 
K71.1 , ,Toxic liver disease with hepatic necrosis ,C 
K71.2 , ,Toxic liver disease with acute hepatitis ,C 
K71.6 , ,"Toxic liver disease with hepatitis, not elsewhere classified ",C 
K71.9 , ,"Toxic liver disease, unspecified ",C 
K72.0 , ,Acute and subacute hepatic failure ,E 
K72.9 , ,"Hepatic failure, unspecified ",E 
K76.7 , ,Hepatorenal syndrome ,E 
K85.3[1] , ,Drug-induced acute pancreatitis ,A1 
K92.0 , ,Hematemesis ,E 
K92.1 , ,Melena ,E 
K92.2 , ,"Gastrointestinal hemorrhage, unspecified ",E 
L10.5 , ,Drug-induced pemphigus ,A1 
L20 ,3,Atopic dermatitis  ,U 
L21 ,4,Seborrhoeic dermatitis ,E 
L21.0 , ,Seborrhoea capitis ,E 
L21.1 , ,Seborrhoeic infantile dermatitis ,E 
L23.3 , ,Allergic contact dermatitis due to drugs in contact with skin ,A2 
L24.4 , ,Irritant contact dermatitis due to drugs in contact with skin ,A2 
L25.1 , ,Unspecified contact dermatitis due to drugs in contact with skin ,A2 
L26 ,1,Exfoliative dermatitis ,E 
L27 ,5,Dermatitis due to substances taken internally ,A2 
L27.0 , ,Generalized skin eruptions due to drugs and medicaments ,A2 
L27.1 , ,Localized skin eruptions due to drugs and medicaments ,A2 
L27.8 , ,Dermatitis due to other substances taken internally ,A2 
L27.9 , ,Dermatitis due to unspecified substance taken internally ,A2 
L28 ,3,Lichen simplex chronicus and prurigo ,E 
L29 ,6,Pruritus ,U 
L30 ,8,Other dermatitis ,E 
,,,
L43.2 , ,Lichenoid drug reaction ,A1 
L50.0 , ,Allergic urticaria ,D 
L51 ,5,Erythema multiforme ,C 
L51.1 , ,Bullous erythema multiforme/Stevens?Johnson syndrome ,C 
L51.2[1] , ,Toxic epidermal necrolysis (Lyell?s Syndrome) ,C 
L51.8 , ,Other erythema multiforme ,C 
L51.9 , ,"Erythema multiforme, unspecified ",C 
L52 ,1,Erythema nodosum ,E 
L56.0 , ,Drug phototoxic response ,A1 
L56.1 , ,Drug photoallergic response ,A1 
L56.2 , ,Photocontact dermatitis (berloque dermatitis) ,C 
L64.0 , ,Drug-induced androgenic alopecia ,A1 
L71.0 , ,Perioral dermatitis ,E 
M02.2 , ,Postimmunization arthropathy ,V 
M10.2[2] , ,Drug-induced gout ,A1 
M25.0 , ,Hemarthrosis ,E 
M31.0 , ,Hypersensitivity angiitis ,E 
M32.0 , ,Drug-induced systemic lupus erythematosus ,A1 
L27.0 , ,Generalized skin eruptions due to drugs and medicaments ,A2 
L27.1 , ,Localized skin eruptions due to drugs and medicaments ,A2 
L27.8 , ,Dermatitis due to other substances taken internally ,A2 
L27.9 , ,Dermatitis due to unspecified substance taken internally ,A2 
L28 ,3,Lichen simplex chronicus and prurigo ,E 
L29 ,6,Pruritus ,U 
L30 ,8,Other dermatitis ,E 
,,,
L43.2 , ,Lichenoid drug reaction ,A1 
L50.0 , ,Allergic urticaria ,D 
L51 ,5,Erythema multiforme ,C 
L51.1 , ,Bullous erythema multiforme/Stevens?Johnson syndrome ,C 
L51.2[1] , ,Toxic epidermal necrolysis (Lyell?s Syndrome) ,C 
L51.8 , ,Other erythema multiforme ,C 
L51.9 , ,"Erythema multiforme, unspecified ",C 
L52 ,1,Erythema nodosum ,E 
L56.0 , ,Drug phototoxic response ,A1 
L56.1 , ,Drug photoallergic response ,A1 
L56.2 , ,Photocontact dermatitis (berloque dermatitis) ,C 
L64.0 , ,Drug-induced androgenic alopecia ,A1 
L71.0 , ,Perioral dermatitis ,E 
M02.2 , ,Postimmunization arthropathy ,V 
M10.2[2] , ,Drug-induced gout ,A1 
M25.0 , ,Hemarthrosis ,E 
M31.0 , ,Hypersensitivity angiitis ,E 
M32.0 , ,Drug-induced systemic lupus erythematosus ,A1 
N95.0 , ,Postmenopausal bleeding ,U 
N95.3 , ,States associated with artificial menopause ,E 
N99.0 , ,Postprocedural renal failure ,C 
O26.6 , ,"Liver disorders in pregnancy, childbirth and the puerperium ",D 
O35.5 , ,Maternal care for (suspected) damage to fetus by drugs ,A2 
O74.2 , ,Cardiac complications of anaesthesia during labour and delivery ,C 
O74.3 , ,Central nervous system complications of anaesthesia during labour and delivery ,C 
O74.4 , ,Toxic reaction to local anesthetic during labour and delivery ,A1 
O74.6 , ,Other complications of spinal and epidural anesthesia during labour and delivery ,D 
P04.0 , ,"Fetus and newborn affected by maternal anaesthesia and analgesia in pregnancy, labour and delivery ",A1 
P04.1 , ,Fetus and newborn affected by other maternal medication ,A1 
P04.4 , ,Fetus and newborn affected by maternal use of drugs of addiction ,A2 
P58.4 , ,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn ,A2 
P93 ,1,Reactions and intoxications due to drugs administered to fetus and newborn ,A2 
P96.1 , ,Neonatal withdrawal symptoms from maternal use of drugs of addiction ,A2 
P96.2 , ,Withdrawal symptoms from therapeutic use of drugs in newborn ,A1 
Q86.1 , ,Fetal hydantoin syndrome ,A1 
Q86.2 , ,Dysmorphism due to warfarin ,A1 
R00.1 , ,"Bradycardia, unspecified ",E 
R04.0 , ,Epistaxis ,E 
R04.1 , ,Hemorrhage from throat ,E 
R04.8 , ,Hemorrhage from other sites in respiratory passage ,E 
R04.9 , ,"Hemorrhage from respiratory passage, unspecified ",E 
R06.0 , ,Dyspnea ,E 
R11 ,1,Nausea and vomiting ,E 
R04.1 , ,Hemorrhage from throat ,E 
R04.8 , ,Hemorrhage from other sites in respiratory passage ,E 
R04.9 , ,"Hemorrhage from respiratory passage, unspecified ",E 
R06.0 , ,Dyspnea ,E 
R11 ,1,Nausea and vomiting ,E 
T39.1 , ,Poisoning by 4-Aminophenol derivatives ,B1 
T40 ,10,Poisoning by narcotics and psychodysleptics [hallucinogens] ,B1 
T40.3 , ,Poisoning by Methadone ,B1 
T41 ,6,Poisoning by anaesthetics and therapeutic gases ,B1 
T42 ,9,"Poisoning by antiepileptic, sedative-hypnotic and antiparkinsonism drugs ",B1 
T43 ,9,"Poisoning by psychotropic drugs, not elsewhere classified ",B1 
T44 ,10,Poisoning by drugs primarily affecting the autonomic nervous system ,B1 
T45 ,10,"Poisoning by primarily systemic and haematological agents, not elsewhere classified ",B1 
T46 ,10,Poisoning by agents primarily affecting the cardiovascular system ,B1 
T46.0 , ,Cardiac-stimulant glycosides and drugs of similar action ,B1 
T47 ,10,Poisoning by agents primarily affecting the gastrointestinal system ,B1 
T48 ,8,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system ,B1 
T49 ,10,"Poisoning by topical agents primarily affecting skin and mucous membrane and by ophthalmological, otorhinolaryngological and dental drugs ",B1 
T50 ,10,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances ",B1 
T78 ,7,"Adverse effects, not elsewhere classified ",A2 
T78.2 , ,"Anaphylactic shock, unspecified ",A2 
T78.3 , ,Angioneurotic edema ,A2 
T78.4 , ,"Allergy, unspecified ",A2 
T78.8 , ,"Other adverse effects, not elsewhere classified ",A2 
T78.9 , ,"Adverse effect, unspecified ",A2 
T80.1 , ,"Vascular complications following infusion, transfusion and therapeutic injection ",A2 
T80.2 , ,"Infections following infusion, transfusion and therapeutic injection ",A2 
T80.3 , ,ABO incompatibility reaction ,A2 
T80.4 , , Rh incompatibility reaction ,A2 
T80.5 , ,Anaphylactic shock due to serum ,A2 
T80.6 , ,"Complications following infusion, transfusion and therapeutic injection: other serum reactions ",A2 
T80.8 , ,"Other complications following infusion, transfusion and therapeutic injection ",A2 
T80.9 , ,"Unspecified complication following infusion, transfusion and therapeutic injection ",A2 
T81 ,10,"Complications of procedures, not elsewhere classified ",U 
T88.0 , ,Infection following immunization ,V 
T88.1 , ,"Other complications following immunization, not elsewhere classified ",V 
T88.2 , ,Shock due to anaesthesia ,E 
T88.3 , ,Malignant hyperthermia due to anaesthesia ,A1 
T88.5 , ,Other complications of anaesthesia ,D 
T88.6 , ,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered ,A2 
,,,
T88.7 , ,Unspecified adverse event of drug or medicament ,A2 
,,,
T88.8 , ,"Other specified complications of surgical and medical care, not elsewhere classified",E 
T88.9 , ,"Complication of surgical and medical care, unspecified",E 
T96 ,1,"Sequelae of poisoning by drugs, medicaments and biological substances ",B2 
X40 ,1,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics including acetaminophen ",B2 
X41 ,1,"Accidental poisoning by and exposure to antiepileptic, sedative hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified ",B2 
X42 ,1,Accidental poisoning by and exposure to narcotics and psychodysleptics ,B2 
X43 ,1,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system ,B2 
X44 ,1,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances ",B2 
X45.5[1] , ,Adverse effects of therapeutic use of 4-aminophenol derivatives ,B2 
Y10 ,1,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent ",B2 
Y12 ,1,"Poisoning by and exposure to narcotics and psychodysleptics (hallucinogens), undetermined intent ",E 
Y14 ,1,"Poisoning by and exposure to other and unspecified drugs, medicaments, and biological substances, undetermined intent ",E 
Y40 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Systemic antibiotic ",A1 
 ,,,
Y41 ,8,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Other systemic anti-infectives and antiparasitics ",A1 
 ,,,
Y42 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Hormones and their synthetic substitutes and antagonists, not elsewhere classified ",A1 
Y42.7 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - ",A1 
,,"Hormones and their synthetic substitutes and antagonists, not elsewhere classified, Androgens and anabolic congener ",
Y43 ,9,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Primarily systemic agents ",A1 
Y44 ,9,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting blood constituents ",A1 
Y44.0 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting blood constituents, Iron preparations and other anti-hypochromic-anaemia ",A1 
,,,
,,preparations ,
Y44.2 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting blood constituents, Anticoagulants ",A1 
,,,
Y45 ,8,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Analgesics, antipyretics and anti-inflammatory drugs ",A1 
Y45.5 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Analgesics, antipyretics and anti-inflammatory drugs, 4-Aminophenol derivatives ",A1 
Y46 ,9,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Antiepileptics and antiparkinsonism drugs ",A1 
 ,,,
Y47 ,8,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Sedatives, hypnotics and antianxiety drugs ",A1 
 ,,,
Y47.1 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Sedatives, hypnotics and antianxiety drugs, Benzodiazepines ",A1 
Y48 ,6,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Anaesthetics and therapeutic gases ",A1 
 ,,,
Y48.1 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Anaesthetics and therapeutic gases, Parenteral anaesthetics ",A1 
Y48.2 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Anaesthetics and therapeutic gases, Other and unspecified general anaesthetics ",A1 
Y48.3 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Anaesthetics and therapeutic gases, Local anaesthetics ",A1 
Y48.4 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Anaesthetics and therapeutic gases, Anaesthetic, unspecified ",A1 
Y49 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Psychotropic drugs, not elsewhere classified ",A1 
 ,,,
Y50 ,5,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Central nervous system stimulants, not elsewhere classified ",A1 
 ,,,
Y51 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Drugs primarily affecting the autonomic nervous system ",A1 
Y52 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting the cardiovascular system ",A1 
Y53 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting the gastrointestinal system ",A1 
Y54 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily affecting water-balance and mineral and uric acid metabolism ",A1 
Y55 ,8,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents ",A1 
,,,
,,primarily acting on smooth and skeletal muscles and the respiratory system ,
Y55.1 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Agents primarily acting on smooth and skeletal muscles and the respiratory system, Skeletal muscle relaxants [neuromuscular blocking agents] ",A1 
Y56 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Topical agents primarily affecting skin and mucous membrane and ophthalmological, otorhinolaryngological and dental drugs ",A1 
Y57 ,10,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use -Other and unspecified drugs and medicaments ",A1 
 ,,,
Y57.5 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use -Other and unspecified drugs and medicaments, X-ray contrast media ",A1 
Y57.9 , ,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use -Other and unspecified drugs and medicaments, Drug or medicament, unspecified ",A2 
,,,
Y58 ,9,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Bacterial vaccines ",A1 
Y59 ,6,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use - Other and unspecified vaccines and biological substances ",A1 
Y59.9 , ,"Vaccine or biological substance, unspecified ",A2 
,,,
Y60.1 , ,"Unintentional cut, puncture, perforation or haemorrhage during during infusion or transfusion ",U 
Y60.2 , ,"Unintentional cut, puncture, perforation or haemorrhage during kidney dialysis or other perfusion ",U 
Y60.3 , ,"Unintentional cut, puncture, perforation or haemorrhage during injection or immunization ",U 
Y62.1 , ,Failure of sterile precautions during infusion or transfusion ,U 
Y62.2 , ,Failure of sterile precautions during kidney dialysis or other perfusion ,U 
Y62.3 , ,Failure of sterile precautions during injection or immunization ,U 
Y63 ,9,Failure in dosage during surgical and medical care ,C 
Y64 ,4,Contaminated medical or biological substances ,U 
Y65.0 , ,Mismatched blood used in transfusion ,U 
Y65.1 , ,Wrong fluid in infusion ,C 
Y66 ,1,Non administration of surgical and medical care ,D 
Y69 ,1,Unspecified misadventure during surgical and medical care ,C 
Y88.0 , ,"Sequelae of adverse effects caused by drugs, medicaments and biological substances in therapeutic use ",A1 
Z03.6 , ,Observation for suspected toxic effect from ingested substance ,A2 
Z88 ,10,"Personal history of allergy to drugs, medicaments and biological substances ",U 
